chemical_id,chemical_name,group,MEC,MEC_unit,PNEC,PNEC_unit,benchmark_accepted,hazard_accepted,DF,SO,TO,half_life_days,BCF,chronic,chronic_unit,Cbio,Cbio_unit,HB2GV,HB2GV_unit,matrix,benchmark_matrix,basis,benchmark_basis,PREV,human_hazard,human_half_life_days,source,core_quality,core_n,core_consistency,occurrence_quality,occurrence_n,occurrence_consistency,fate_quality,fate_n,fate_consistency,exposure_quality,exposure_n,exposure_consistency,hazard_quality,hazard_n,hazard_consistency
Demo-01,Synthetic chemical 1,Demonstration,0.05,ug/L,0.5,ug/L,yes,yes,0.1,0.2,0.3,4.0,10.0,,ug/L,0.4,ug/L,1.0,ug/L,serum,serum,wet,wet,0.1,0.2,10,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,5,0.8,0.9,5,0.8,0.9,5,0.8,0.9,5,0.8,0.9,5,0.8
Demo-02,Synthetic chemical 2,Demonstration,0.3,ug/L,0.7,ug/L,yes,yes,0.17,0.24000000000000002,0.32999999999999996,20.0,100.0,,ug/L,0.8,ug/L,1.3,ug/L,serum,serum,wet,wet,0.16,0.26,20,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,8,0.8,0.5,8,0.8,0.5,8,0.8,0.5,8,0.8,0.5,8,0.8
Demo-03,Synthetic chemical 3,Demonstration,1.0,ug/L,0.9,ug/L,yes,yes,0.24000000000000002,0.28,0.36,40.0,500.0,,ug/L,1.2000000000000002,ug/L,1.6,ug/L,serum,serum,wet,wet,0.22,0.32,30,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,11,0.8,0.9,11,0.8,0.9,11,0.8,0.9,11,0.8,0.9,11,0.8
Demo-04,Synthetic chemical 4,Demonstration,5.0,ug/L,1.1,ug/L,yes,yes,0.31000000000000005,0.32,0.39,80.0,2000.0,,ug/L,1.6,ug/L,1.9,ug/L,serum,serum,wet,wet,0.28,0.38,40,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,14,0.8,0.5,14,0.8,0.5,14,0.8,0.5,14,0.8,0.5,14,0.8
Demo-05,Synthetic chemical 5,Demonstration,20.0,ug/L,1.3,ug/L,yes,yes,0.38,0.36,0.42,200.0,6000.0,,ug/L,2.0,ug/L,2.2,ug/L,serum,serum,wet,wet,0.33999999999999997,0.44,50,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,17,0.8,0.9,17,0.8,0.9,17,0.8,0.9,17,0.8,0.9,17,0.8
Demo-06,Synthetic chemical 6,Demonstration,0.8,ug/L,1.5,ug/L,yes,yes,0.45000000000000007,0.4,0.44999999999999996,100.0,1000.0,,ug/L,2.4000000000000004,ug/L,,ug/L,serum,serum,wet,wet,0.4,0.5,60,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,20,0.8,0.5,20,0.8,0.5,20,0.8,0.5,20,0.8,0.5,20,0.8
Demo-07,Synthetic chemical 7,Demonstration,3.0,ug/L,,ug/L,yes,yes,0.52,0.44,0.48,60.0,,19.0,ug/L,2.8000000000000003,ug/L,,ug/L,serum,serum,wet,wet,0.45999999999999996,0.56,70,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,23,0.8,0.9,23,0.8,0.9,23,0.8,0.9,23,0.8,0.9,23,0.8
Demo-08,Synthetic chemical 8,Demonstration,15.0,ug/L,,ug/L,yes,yes,0.5900000000000001,0.48000000000000004,0.51,500.0,3000.0,22.0,ug/L,3.2,ug/L,,ug/L,serum,serum,wet,wet,0.52,0.62,80,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,26,0.8,0.5,26,0.8,0.5,26,0.8,0.5,26,0.8,0.5,26,0.8
Demo-09,Synthetic chemical 9,Demonstration,0.1,ug/L,,ug/L,yes,yes,0.66,0.52,0.54,30.0,800.0,25.0,ug/L,3.6,ug/L,,ug/L,serum,serum,wet,wet,0.58,0.6799999999999999,90,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,29,0.8,0.9,29,0.8,0.9,29,0.8,0.9,29,0.8,0.9,29,0.8
Demo-10,Synthetic chemical 10,Demonstration,2.0,ug/L,,ug/L,yes,yes,0.7300000000000001,0.56,0.5700000000000001,,100.0,28.0,ug/L,4.0,ug/L,,ug/L,serum,serum,wet,wet,0.64,0.74,100,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,32,0.8,0.5,32,0.8,0.5,32,0.8,0.5,32,0.8,0.5,32,0.8
Demo-11,Synthetic chemical 11,Demonstration,0.0,ug/L,2.5,ug/L,yes,yes,0.8,0.6000000000000001,0.6,2.0,,31.0,ug/L,4.4,ug/L,,ug/L,serum,serum,wet,wet,0.7,0.8,110,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.9,35,0.8,0.9,35,0.8,0.9,35,0.8,0.9,35,0.8,0.9,35,0.8
Demo-12,Synthetic chemical 12,Demonstration,,ug/L,,ug/L,yes,yes,,,,,,,ug/L,,ug/L,,ug/L,serum,serum,wet,wet,,,120,SYNTHETIC DEMONSTRATION ONLY; not measured chemical data,0.5,38,0.8,0.5,38,0.8,0.5,38,0.8,0.5,38,0.8,0.5,38,0.8
